id,titre,description
133,eveloppeur Full stack C#.NET/C++/PHP/Symfony,""Analyse de l’existant et des enjeux associés aux métiers liés au déploiement de la fibreEtude; analyse; conception et développement et tests des évolutions .Documentation associée au développement et à l'installation et à l'exploitation..Correction anomalies et maintenance.Création de packages correspondant aux blocs fonctionnels développés. Compétences techniques souhaitées : • SGBD : Oracle; PL-SQL • Langages : C++; PHP; C#; Python • OS : Windows / Linux""
134,DEVELOPPEUR FULLSTACK JAVA/ANGULAR,""Contribuer à la définition des Users Stories- Participer à l’analyse des données et à la rédaction des spécifications fonctionnelles et techniques- Intervenir dans le projet (méthodologie AGILE/Scrum / Safe)- Participer au développement des applications (Back et front) et aux tests (pré-production/production)- Participer à la mise en production- Gestion des incident/bud post-production et correction du code- Enrichir l’automatisation des tests- Participer au déploiement dans une optique DevOps. VOS ATOUTS :- Expériences de développement Back End : Java; Spring (Boot; Security; Data..); Hibernate- Expériences de développement Front End : Angular- Expérience sur les outils suivants : Maven / GIT / JUnit""
135,Développeur Angular,""Analyser et estimer les user stories décrites par le Product Owner;Concevoir la solution technique et réaliser les développements appropriés;Développer des améliorations et corrections de bugs;Effectuer des tests unitaires;Rédiger des documentations techniques et fonctionnelles;Assurer une veille active sur les nouvelles technologies.Maitrise d’Angular JS; Angular; React.Connaissance de l’intégration continue: Docker; Gitlab;Pratique de l’agilité;Niveau opérationnel en anglais.""
136,Développeur Java Angular,""Vous avez une expérience sur le développement front : Angular; GWT; Bootstrap;Vous disposez d’une connaissance des frameworks Java (Spring; Hibernate; Struts par exemple);Vous disposez d’une connaissance des outils tels que GIT; Maven; SVN … ""
137,Développeur Fullstack Java/Angular,""Conception et développement d’applications bancaires à haute performance en utilisant les technologies Java; Angular et DevOps;Travail en étroite collaboration avec les chefs de projet; les architectes techniques et les autres développeurs pour offrir des solutions techniques adaptées aux besoins métier; Développement et mise en œuvre de solutions de sécurité robustes pour garantir la protection des données bancaires sensibles; Évaluation et amélioration régulière des performances des applications existantes; Fournir un support technique pour les problèmes liés aux applications ""
138,Concepteur Développeur Fullstack Java / Angular,""Participation aux réunions de définition de besoins . Rédaction des spécifications fonctionnelles; Préparation et accompagnement du développement jusqu'en production; Suivi des développements techniques relatifs; Assurer le développement; la réalisation et les tests unitaires de l’application Langages : Java; Angular .Vous avez une expérience qui vous a permis de développer un bon sens de l'analyse. Vous avez pour habitude de travailler dans un cadre agile.""
139,Ingénieur Système Embarqué,""Dans ce contexte; Eurailscout France recherche un Ingénieur Système. Ce dernier sera intégré au sein de la Direction Technique pour :piloter et animer les processus de maintien en condition opérationnel des systèmes de mesure en production sur nos trains ;piloter les projets d amélioration technique sur les chaines de mesure existantes ;assurer le rôle d expert technique auprès des autres département de l entreprise ;participer à la veille technologique du département. ""
140,Ingénieur en électronique embarqué,""Analyser les demandes d’évolution; conduire les recherches et essais nécessaires pour valider leur faisabilité technique.Gestion des obsolescences.Etudier; chiffrer et développer les évolutions.Gestion de la documentation produits.analyse des problèmes techniques et propositions de solution. ""
141,Ingénieur Développement Logiciel Embarqué,""Vous aurez l’opportunité de rejoindre une équipe hautement expérimentée et talentueuse pour participer à l’ensemble des activités de R&D dans le domaine du logiciel embarqué l : définition de l’architecture logicielle la plus adaptée; implémentation; tests unitaires et documentations associées. Vous aurez de plus l'occasion d'utiliser de nombreuses technologies (OS Temps Réel; capteurs; GPS; traitement du signal; réseau Ethernet; USB; CAN; Bluetooth; Web; HTML; JavaScript). Conception et Développement de nouvelles fonctionnalités sous OS Temps réel.Développement dans un environnement hautement parallélisé (multithreading).Intégration des librairies conçues par les équipes algorithmes sur plate-forme embarquée.Implémentation de couches critiques bas niveau (DMA; IRQ; RTOS; Assembleur).""
142,Ingénieur R&D Android embarqué,""Les développements à effectuer peuvent se situer du bootloader ; jusqu’à du backend applicatif :Développement d’outils de tests/debug (à distance; en réparation ou avant déploiement). Amélioration des HALs Android pour supporter de nouvelles fonctionnalités. Intégration de nouveaux services dans l’OS sécurisé. Amélioration de la qualité des drivers. Les langages utilisés utilisés sont majoritairement: shell; C; C++; Java; Kotlin ""
143,Ingénieur logiciel embarqué,""Rattaché(e) au responsable de l'activité logicielle; entouré(e) d'une équipe pluridisciplinaire de 50 personnes; vous serez impliqué(e) dans toutes les phases des projets; de la réponse à appel d’offre à l’intégration sur site client: Conception logicielle ; Programmation C sur µC (bare metal) ; Cross compilation ; IVVQ : (Rédaction de procédure de tests; Tests unitaires; Tests fonctionnels; intégration et mise au point sur cible) ; Documentation ; Contribution aux réponses à appel d’offre ""
144,Ingénieur Développement Intégration Logiciel Embarqué,""- De formation Ingénieur ou équivalent Bac+5; vous justifiez d’une expérience réussie dans le domaine du développement et l’intégration de logiciel embarqué temps réel ?- Vous maîtrisez le langage C++ ?- Vous êtes à l’aise sur les systèmes d’exploitation Temps réel (VxWorks; Linux…) et les protocoles Télécom (couches MAC; RLC; NET) ?""
145,Ingénieur Système Embarqué / Électronicien - Raspberry Arduino,""Conception de l’électronique des divers objets et assurer les logiques de communication entre eux Participer à l’élaboration et à la réalisation de concepts et techniques innovants; dans les domaines de l’électronique et de l’intégration notamment Réaliser des schémas électroniques Développer le code de pilotage sur les divers MCU (souvent Arduino IDE) Câbler et intégrer l’électronique dans les objets réalisés; à partir d’un schéma de câblage ""
146,Développeur C++,""Dans le cadre de ce projet; vous êtes en charge de :Analyser les spécifications;Définir l'architecture du logiciel en C++;Participer à la réalisation des tests unitaires en C++;Maintenir en conditions opérationnelles l’application.Profil : De formation Grande Ecole d'Ingénieur ou Master 2 ; vous justifiez d'une première expérience significative dans le développement C++.Vous êtes curieux; investi et surtout passionné par le développement. Vous savez travailler en équipe et vous vous intégrer rapidement; vous êtes autonome; organisé(e) et rigoureux (se); bon communiquant et doué(e) du sens de l'écoute.Les compétences requises sont : C++ .Linux; Unix. La connaissance du Cloud Azure serait un plus.La maitrise de l’anglais est indispensable. ""
147,Ingénieur développement logiciel C++,""Vous interviendrez comme Ingénieur de développement logiciel C++ au sein de notre centre de Bezons dédié au développement de projets Transport.Votre première mission consistera à intégrer l’équipe développement d’un très grand projet industriel dans le domaine du ferroviaire. Vous maitrisez le développement C++ ;Vous connaissez les bonnes pratiques de développement ""
148,Développeur Front-End React,""Participer à la phase de conception des projets avec l’équipe produit . Concevoir et développer des applications web complexes basées sur la stack React . Intégrer des composants dans le front à partir de maquettes fonctionnelles . Échanger avec les développeurs back-end pour concevoir les appels à l’API . Participer à l’amélioration continue de la base de code; en lien avec les développeurs front et back de l’équipe . Contribuer à l’amélioration de l’expérience utilisateur . Technologies à maîtriser : Javascript; et plus particulièrement React ; TypeScript ;Gitlab""
149,Développeur Front-end React,""Participer à la conception et l’évolution de nos interfaces web en collaboration avec l’équipe Produit. Développer et livrer les nouvelles fonctionnalités pour notre nouvelle plateforme et applications Web en React. Développer les composants Web de notre Design System avec nos UI/UX designer et participer à la mise en place et l’évolution de nos composants Design system. Participer au processus qualité du produit : tests unitaires; CI/CD; application des concepts de développement sécurisé… Stack technique : Frontend : TypeScript; Javascript ES6; ReactJS; Less; Storybook ; Infrastructure : Docker; Gitlab CI. ""
150,Expert React Native,""Participer activement au développement de NeedHelp.com;Amélioration de l’expérience utilisateur; Développer notre application mobile basée sur la stack React; Utiliser les best practices de développement front-end; Conception et développement de users stories qui vous sont attribuées; Participation à la revue de code; Echange avec les développeurs back-end pour concevoir les appels à l’API; Stack techniqueReact Native +++React.JS GitLab CI; Composer; Docker; Linux; AWS""
